Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",103.52,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",82.51,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",61.51,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.38,6.72,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.99,24.7,35.39,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",17.58,17.04,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",18.21,24.7,36.15,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",18.21,24.7,14.25,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",18.21,24.7,25.2,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",17.58,7.05,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",18.21,24.7,3.3,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.38,14.87,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.99,24.7,3.3,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.99,24.7,14.0,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.99,24.7,24.69,0.68,0.07,0.68,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",19.51,23.69,38.07,0.68,0.68,0.07,""
"4 planches",1,"🛞 Passage de roue droite / 4 planches",17.29,6.17,2.04,88.0,18.5,36.0,""
"Planche haut PR",2,"🛞 Passage de roue droite / 4 planches / Planche haut PR",17.29,6.17,36.54,88.0,18.5,1.5,"Texture Bois Plank"
"Planche face",2,"🛞 Passage de roue droite / 4 planches / Planche face",17.29,23.17,2.04,88.0,1.5,34.5,"Texture Bois Plank"
"Planche gauche PR",2,"🛞 Passage de roue droite / 4 planches / Planche gauche PR",103.79,-0.23,2.04,1.5,17.0,34.5,"Texture Bois Plank"
"Planche droite PR",2,"🛞 Passage de roue droite / 4 planches / Planche droite PR",17.29,2.14,2.04,1.5,17.0,34.5,"Texture Bois Plank"
"🛌 Bloc lit peigne",0,"🛌 Bloc lit peigne",3.09,88.3,1.86,195.7,120.08,39.57,""
"Peigne",1,"🛌 Bloc lit peigne / Peigne",3.09,88.3,1.86,190.0,120.08,39.57,""
"Peigne fixe",2,"🛌 Bloc lit peigne / Peigne / Peigne fixe",3.09,91.35,38.54,190.0,78.5,3.0,""
"Planche du dessus lit",3,"🛌 Bloc lit peigne / Peigne / Peigne fixe / Planche du dessus lit",4.59,91.35,38.54,187.0,77.5,1.5,""
"Lit peigne fixee",3,"🛌 Bloc lit peigne / Peigne / Peigne fixe / Lit peigne fixee",3.09,93.3,40.04,190.0,74.0,1.5,""
"Peigne mobile droit",2,"🛌 Bloc lit peigne / Peigne / Peigne mobile droit",98.09,48.3,2.04,95.0,74.07,39.57,""
"8 Vis",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile droit / 8 Vis",98.69,40.56,41.54,94.1,10.45,8.31,""
"Triangle pied droit ",3,"🛌 Bloc lit peigne / Peigne / Peigne mobile droit / Triangle pied droit ",191.59,49.8,30.04,1.5,10.0,10.0,""
