Nom,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm
"🍳Meuble cuisine fixe",19.8,1.3,1.0,161.2,44.0,85.4
"🔋Étagère Baterie",-8.9,2.8,1.0,33.0,43.0,68.5
"🚐 Véhicule",-99.0,2.7,-0.5,336.8,174.2,143.6
"⚡️Tableau elec",-1.9,3.3,71.0,20.0,14.0,28.0
"🛞 Passage de roue droite",17.3,6.2,2.0,88.0,18.6,36.1
"🛌 Bloc lit peigne",3.1,88.3,1.9,195.7,120.1,39.6
"🧊Meuble glacière",193.1,95.9,2.0,36.0,57.1,50.0
"👣Sol",-10.2,2.7,-0.4,252.0,165.6,2.4
"🧸Accessoires",3.1,88.3,6.8,226.2,80.0,60.3
